Sand,Clay,Silt,pH,EC,N,,K,SoilType
46.0,28.0,26.0,8.0,0.402,5.28,16.3964,246.0,Sandy clay loam
44.0,30.0,26.0,7.57,0.451,5.2,37.7163,283.2,Sandy clay loam
42.0,30.0,28.0,7.83,0.427,4.32,23.3122,526.8,Clay loam
40.0,22.0,38.0,7.85,0.749,35.48,184.7114,997.1999999999999,Loam
48.0,28.0,24.0,7.69,0.471,8.28,36.5484,458.4,Sandy clay loam
34.0,38.0,28.0,7.99,0.42,3.08,36.7545,436.8,Clay loam
30.0,44.0,26.0,7.94,0.393,7.13,19.831400000000002,429.59999999999997,Clay
20.0,42.0,38.0,7.95,0.516,5.86,16.762800000000002,562.8,Clay
34.0,24.0,42.0,5.79,0.243,5.55,33.4111,159.6,Loam
36.0,22.0,42.0,6.78,0.541,6.65,61.3033,139.2,Loam
56.0,22.0,22.0,7.71,0.525,9.42,30.5486,192.0,Sandy loam
48.0,32.0,20.0,6.77,0.68,2.42,31.029500000000002,248.39999999999998,Sandy clay loam
34.0,24.0,42.0,7.07,0.515,7.18,34.35,170.4,Loam
32.0,36.0,32.0,5.59,0.419,3.61,52.647099999999995,262.8,Clay loam
22.0,38.0,40.0,7.93,0.366,6.87,23.4496,231.6,Clay loam
16.0,44.0,40.0,7.8,1.26,14.05,50.97540000000001,574.8,Silty clay
22.0,32.0,46.0,8.01,0.449,8.32,37.7621,435.59999999999997,Clay loam
38.0,20.0,42.0,8.15,0.343,3.87,24.548800000000004,122.39999999999999,Loam
36.0,20.0,44.0,7.99,0.402,5.94,21.7321,208.79999999999998,Loam
30.0,30.0,40.0,8.04,0.412,3.87,8.8394,338.4,Clay loam
28.0,28.0,44.0,7.95,0.52,12.9,41.2658,1428.0,Clay loam
10.0,32.0,58.0,7.98,0.42,9.91,51.433400000000006,512.4,Clay loam
10.0,40.0,50.0,7.96,0.425,12.81,35.403400000000005,643.1999999999999,Silty clay
16.0,24.0,60.0,8.1,0.458,9.42,40.6704,416.4,Silt loam
22.0,28.0,50.0,8.13,0.304,3.48,8.5646,168.0,Clay loam
26.0,30.0,44.0,8.1,0.441,6.87,27.6174,297.59999999999997,Clay loam
22.0,46.0,32.0,7.89,0.455,5.2,41.1284,897.6,Clay
24.0,36.0,40.0,7.998,0.275,10.52,30.5944,1166.3999999999999,Clay loam
38.0,24.0,38.0,7.96,0.524,12.55,16.4422,673.1999999999999,Loam
28.0,26.0,46.0,8.06,0.496,13.39,18.892500000000002,291.59999999999997,Loam
30.0,34.0,36.0,8.05,0.391,7.44,30.3196,256.8,Clay loam
26.0,24.0,50.0,8.16,0.403,10.88,18.823800000000002,165.6,Silt loam
28.0,16.0,56.0,8.14,0.372,8.01,16.9918,86.39999999999999,Silt loam
24.0,52.0,24.0,5.753,0.35,6.69,38.0369,216.0,Clay
28.0,28.0,44.0,7.96,0.483,7.57,25.1213,297.59999999999997,Clay loam
16.0,50.0,34.0,7.88,0.377,9.95,15.1369,620.4,Clay
14.0,48.0,38.0,8.2,0.307,7.93,16.9918,375.59999999999997,Clay
26.0,52.0,22.0,6.3,0.56,11.71,49.7846,291.59999999999997,Clay
30.0,46.0,24.0,5.85,0.224,4.84,53.975300000000004,214.79999999999998,Clay
30.0,46.0,24.0,6.28,0.272,4.58,57.891200000000005,309.59999999999997,Clay
24.0,50.0,26.0,6.65,0.477,9.2,19.602400000000003,259.2,Clay
18.0,56.0,26.0,6.88,0.261,6.65,18.3658,282.0,Clay
58.0,12.0,30.0,7.95,0.417,12.02,25.716700000000003,80.39999999999999,Loam
26.0,56.0,18.0,6.69,0.6,5.59,20.8161,318.0,Clay
20.0,52.0,28.0,7.94,0.689,10.61,12.6866,601.1999999999999,Clay
30.0,44.0,26.0,8.02,0.395,6.96,26.884600000000002,506.4,Clay
34.0,44.0,22.0,7.94,0.451,20.12,325.409,1704.0,Clay
20.0,56.0,24.0,8.03,0.344,10.44,27.9151,585.6,Clay
24.0,50.0,26.0,7.9,0.408,11.67,12.0912,672.0,Clay
24.0,56.0,20.0,7.05,0.378,11.49322,3.9159,357.59999999999997,Clay
26.0,54.0,20.0,6.8,0.359,6.737872,16.0758,218.4,Clay
30.0,50.0,20.0,6.65,0.303,7.221084,10.0989,258.0,Clay
20.0,58.0,22.0,6.6,0.241,11.800308,11.6332,380.4,Clay
22.0,56.0,22.0,6.29,0.332,8.982324,3.6411000000000002,261.59999999999997,Clay
30.0,50.0,20.0,6.88,0.394,19.682986,10.0073,177.6,Clay
28.0,48.0,24.0,6.69,0.285,7.002058,9.480599999999999,266.4,Clay
38.0,40.0,22.0,6.87,0.308,7.221084,11.1294,260.4,Clay
28.0,54.0,18.0,6.83,0.503,6.297562,18.2055,256.8,Clay
40.0,34.0,26.0,7.13,0.224,4.315038,17.2666,198.0,Sandy clay loam
36.0,40.0,24.0,7.82,0.246,4.624384,16.923099999999998,237.6,Clay
34.0,44.0,22.0,7.77,0.273,4.800508,13.74,195.6,Clay
30.0,50.0,20.0,7.38,0.376,4.184074,25.6022,261.59999999999997,Clay
28.0,50.0,22.0,6.99,0.386,23.557714,14.198,253.2,Clay
40.0,40.0,20.0,6.97,0.274,12.945114,12.640799999999999,302.4,Clay
36.0,38.0,26.0,7.52,0.299,5.635968,6.8929,201.6,Sandy clay loam
40.0,38.0,22.0,7.33,0.228,11.845468,5.839499999999999,186.0,Sandy clay loam
40.0,38.0,22.0,7.44,0.259,4.800508,12.7782,219.6,Sandy clay loam
52.0,30.0,18.0,7.89,0.232,4.00795,9.915700000000001,222.0,Sandy clay loam
40.0,36.0,24.0,7.2,0.276,4.491162,2.4503000000000004,176.4,Sandy clay loam
26.0,40.0,34.0,7.13,0.502,16.027284,146.4684,625.1999999999999,Clay
30.0,38.0,32.0,7.4,0.561,13.870894,33.6401,364.8,Clay loam
34.0,34.0,32.0,7.39,0.53,8.058802,18.778,208.79999999999998,Clay loam
22.0,38.0,40.0,7.77,0.408,9.070386,9.2745,254.39999999999998,Clay loam
34.0,36.0,30.0,7.73,0.332,5.240818,7.7402,338.4,Clay loam
26.0,40.0,34.0,7.71,0.586,17.436276,8.5875,219.6,Clay
36.0,30.0,34.0,7.79,0.384,10.348414,32.5867,391.2,Clay loam
16.0,52.0,32.0,7.48,0.398,5.857252,51.8227,560.4,Clay
20.0,44.0,36.0,7.7,0.351,5.857252,18.892500000000002,314.4,Clay
24.0,36.0,40.0,7.99,0.325,4.931472,19.1215,223.2,Clay loam
30.0,36.0,34.0,7.71,0.364,7.92558,19.0528,327.59999999999997,Clay loam
20.0,34.0,46.0,7.81,0.408,4.579224,16.2819,312.0,Clay loam
20.0,34.0,46.0,7.82,0.665,7.573332,38.6094,577.1999999999999,Clay loam
16.0,46.0,38.0,8.08,0.4,8.542014,42.502399999999994,392.4,Clay
44.0,32.0,24.0,8.02,0.451,14.047018,9.8241,224.4,Sandy clay loam
28.0,42.0,30.0,8.01,0.464,17.084028,10.8775,241.2,Clay
40.0,32.0,28.0,7.98,0.457,14.751514,75.8219,250.79999999999998,Clay loam
28.0,44.0,28.0,8.1,0.328,8.630076,8.1982,255.6,Clay
38.0,28.0,34.0,8.09,0.343,6.561748,7.0302999999999995,147.6,Clay loam
36.0,32.0,32.0,7.98,0.359,1.982524,8.5417,247.2,Clay loam
24.0,36.0,40.0,8.02,0.52,2.598958,34.7622,434.4,Clay loam
44.0,28.0,28.0,8.02,0.425,3.12733,8.2898,171.6,Clay loam
28.0,32.0,40.0,7.87,0.83,30.42655,16.7399,205.2,Clay loam
22.0,48.0,30.0,7.38,0.379,4.4031,13.511000000000001,307.2,Clay
26.0,46.0,28.0,7.49,0.497,4.360198,25.1671,340.8,Clay
18.0,38.0,44.0,7.84,0.392,11.624184,26.5869,208.79999999999998,Clay loam
28.0,28.0,44.0,7.84,0.35,6.076278,16.3964,163.2,Clay loam
46.0,22.0,32.0,7.6,0.398,4.050852,54.3417,157.2,Loam
36.0,26.0,38.0,7.45,0.394,4.624384,39.0903,165.6,Loam
22.0,34.0,44.0,7.83,0.457,4.050852,12.159899999999999,193.2,Clay loam
22.0,50.0,28.0,7.7,0.44,2.289612,42.3192,402.0,Clay
26.0,36.0,38.0,7.8,0.451,5.459844,18.2055,225.6,Clay loam
20.0,38.0,42.0,7.91,0.352,9.467794,16.259,237.6,Clay loam
26.0,38.0,36.0,8.08,0.422,6.340464,25.0297,243.6,Clay loam
18.0,44.0,38.0,7.8,0.438,7.002058,19.3505,406.8,Clay
30.0,36.0,34.0,7.86,0.38,3.479578,37.8995,444.0,Clay loam
22.0,36.0,42.0,7.8,0.563,13.958956,24.2053,277.2,Clay loam
24.0,34.0,42.0,7.93,0.331,6.428526,21.5031,346.8,Clay loam
24.0,28.0,48.0,7.85,0.684,7.27,44.425999999999995,796.8,Clay loam
12.0,40.0,48.0,7.74,0.562,6.516588,72.6388,1617.6,Silty clay
22.0,46.0,32.0,7.78,0.511,10.524538,61.28040000000001,504.0,Clay
24.0,46.0,30.0,7.44,0.374,6.252402,20.953500000000002,301.2,Clay
38.0,26.0,36.0,6.32,0.313,5.416942,11.9309,144.0,Loam
40.0,20.0,40.0,7.09,0.572,5.416942,22.3046,166.79999999999998,Loam
24.0,36.0,40.0,7.77,0.523,10.524538,46.8992,486.0,Clay loam
26.0,36.0,38.0,7.82,1.476,26.639884,148.9645,1998.0,Clay loam
20.0,48.0,32.0,7.28,0.359,10.788724,18.2971,351.59999999999997,Clay
16.0,46.0,38.0,7.78,0.531,9.334572,57.730900000000005,540.0,Clay
12.0,38.0,50.0,7.97,0.347,6.692712,13.419400000000001,326.4,Clay loam
30.0,26.0,44.0,7.83,0.358,5.28372,11.45,451.2,Loam
30.0,26.0,44.0,7.78,0.493,4.667286,5.4044,153.6,Loam
26.0,32.0,42.0,7.94,0.352,4.536322,3.7784999999999997,222.0,Clay loam
20.0,24.0,56.0,7.95,0.539,14.354106,36.7774,198.0,Silt loam
20.0,32.0,48.0,7.84,0.314,5.72403,15.3888,286.8,Clay loam
20.0,40.0,40.0,7.73,0.64,13.078336,27.7548,447.59999999999997,Silty clay
22.0,38.0,40.0,7.54,0.738,4.712446,16.854400000000002,415.2,Clay loam
28.0,34.0,38.0,7.81,0.379,12.109654,5.1525,294.0,Clay loam
28.0,34.0,38.0,7.84,0.584,23.864802,25.648,882.0,Clay loam
24.0,30.0,46.0,7.93,0.772,6.737872,14.3583,312.0,Clay loam
14.0,36.0,50.0,7.84,0.504,6.780774,21.686300000000003,474.0,Clay loam
20.0,40.0,40.0,7.79,0.546,19.154614,13.8087,228.0,Silty clay
16.0,36.0,48.0,7.8,0.952,46.67286,11.9538,163.2,Clay loam
28.0,34.0,38.0,7.57,0.5,4.88857,9.2516,199.2,Clay loam
22.0,44.0,34.0,7.8,0.398,7.133022,15.572,332.4,Clay
16.0,40.0,44.0,7.81,0.359,2.906046,64.5322,510.0,Silty clay
16.0,42.0,42.0,7.84,0.344,3.96279,7.1448,244.79999999999998,Silty clay
20.0,36.0,44.0,7.75,1.171,34.520304,17.0834,193.2,Clay loam
26.0,38.0,36.0,7.55,0.599,17.041126,137.1252,1078.8,Clay loam
28.0,32.0,40.0,7.9,0.534,16.643718,10.763,243.6,Clay loam
32.0,30.0,38.0,7.95,0.432,10.260352,9.801200000000001,210.0,Clay loam
24.0,40.0,36.0,7.96,0.479,7.266244,17.5643,378.0,Clay
28.0,32.0,40.0,7.77,1.129,61.24825,151.68959999999998,914.4,Clay loam
28.0,32.0,40.0,7.72,0.348,16.379532,16.7399,338.4,Clay loam
26.0,36.0,38.0,7.8,0.394,9.29167,29.4494,342.0,Clay loam
20.0,32.0,48.0,7.83,0.597,19.461702,33.0218,656.4,Clay loam
32.0,30.0,38.0,8.08,0.678,23.77674,122.97300000000001,1180.8,Clay loam
20.0,54.0,26.0,7.76,0.321,8.101704,10.4195,414.0,Clay
14.0,52.0,34.0,7.84,0.765,52.44205,29.5868,510.0,Clay
28.0,42.0,30.0,7.73,0.365,7.53043,23.816000000000003,608.4,Clay
20.0,52.0,28.0,7.57,0.835,18.581082,9.389,608.4,Clay
16.0,48.0,36.0,7.58,0.432,14.487328,15.113999999999999,228.0,Clay
22.0,30.0,48.0,7.6,0.563,20.035234,23.5641,336.0,Clay loam
36.0,24.0,40.0,6.78,0.787,13.825734,56.8836,398.4,Loam
44.0,14.0,42.0,5.65,1.672,47.905728,160.1397,609.6,Loam
40.0,14.0,46.0,6.2,1.246,18.009808,59.082,199.2,Loam
42.0,28.0,30.0,6.26,0.492,4.226976,23.770200000000003,159.6,Clay loam
40.0,6.0,54.0,6.7,0.607,9.29167,83.40180000000001,302.4,Silt loam
48.0,22.0,30.0,5.91,0.553,20.606508,76.7379,207.6,Loam
38.0,20.0,42.0,5.62,0.201,8.189766,22.2359,97.2,Loam
42.0,20.0,38.0,6.83,0.543,9.951006,165.81889999999999,636.0,Loam
44.0,12.0,44.0,7.16,0.395,6.780774,104.56139999999999,360.0,Loam
46.0,16.0,38.0,7.37,0.429,8.8062,134.74360000000001,261.59999999999997,Loam
42.0,18.0,40.0,6.66,0.676,11.88837,116.8358,408.0,Loam
42.0,16.0,42.0,6.14,0.92,14.001858,59.40260000000001,306.0,Loam
36.0,14.0,50.0,6.55,1.092,28.267902,87.6841,338.4,Silt loam
22.0,42.0,36.0,7.56,0.324,12.549964,39.525400000000005,328.8,Clay
20.0,44.0,36.0,7.43,0.333,14.266044,20.106199999999998,273.59999999999997,Clay
24.0,36.0,40.0,6.42,0.541,10.479378,61.28040000000001,302.4,Clay loam
24.0,34.0,42.0,6.99,0.543,10.919688,65.9291,350.4,Clay loam
30.0,32.0,38.0,6.41,0.249,7.882678,26.3121,169.2,Clay loam
18.0,46.0,36.0,7.62,0.412,24.614458,41.3574,368.4,Clay
18.0,36.0,46.0,7.54,0.502,12.857052,22.5107,152.4,Clay loam
28.0,30.0,42.0,7.65,0.453,11.581282,20.2207,544.8,Clay loam
28.0,32.0,40.0,7.64,0.446,9.598758,31.7623,483.59999999999997,Clay loam
18.0,38.0,44.0,7.62,0.527,20.915854,52.395199999999996,855.6,Clay loam
12.0,44.0,44.0,7.65,0.45,17.788524,47.2427,1262.3999999999999,Silty clay
18.0,44.0,38.0,7.72,0.363,2.951206,47.334300000000006,402.0,Clay
30.0,38.0,32.0,7.86,0.334,2.729922,33.113400000000006,465.59999999999997,Clay loam
20.0,40.0,40.0,7.77,0.361,7.48527,9.7554,519.6,Silty clay
20.0,28.0,52.0,7.67,0.409,10.700662,29.9532,416.4,Clay loam
24.0,36.0,40.0,7.83,0.904,3.874728,28.0754,262.8,Clay loam
10.0,42.0,48.0,7.93,0.467,6.473686,20.2436,649.1999999999999,Silty clay
