Sand,Clay,Silt,pH,EC,N,,K,SoilType
45.0,13.0,42.0,3.99,12.76,3.0,68.4,69.8,Loam
61.0,7.0,31.0,4.24,41.7,8.1,107.1,879.9,Loam
14.0,26.0,59.0,5.78,11.98,5.1,10.0,223.8,Silt loam
48.0,12.0,40.0,4.25,20.9,3.2,16.6,102.2,Loam
22.0,20.0,59.0,5.2,102.0,8.1,16.3,192.1,Silt loam
25.0,19.0,56.0,7.18,36.8,5.0,7.5,345.5,Silt loam
37.0,13.0,51.0,6.3,58.1,11.4,21.0,419.5,Silt loam
39.0,14.0,47.0,7.05,40.3,10.0,19.2,207.3,Loam
65.0,6.0,28.0,4.71,24.0,12.0,39.0,226.0,Loam
12.0,27.0,60.0,5.23,26.4,4.8,7.2,218.3,Clay loam
32.0,16.0,52.0,5.18,95.7,8.3,20.3,172.4,Silt loam
43.0,13.0,44.0,5.09,133.8,14.0,40.4,408.7,Loam
34.0,16.0,50.0,5.2,120.2,10.4,27.7,237.1,Silt loam
47.0,10.0,43.0,6.73,24.9,1.9,9.4,84.3,Loam
25.0,17.0,58.0,6.38,67.4,5.3,14.7,84.2,Silt loam
53.0,12.0,35.0,5.1,7.6,2.3,7.8,50.1,Loam
30.0,24.0,45.0,7.5,22.7,3.4,7.2,351.9,Loam
32.0,21.0,47.0,6.94,35.6,2.7,6.2,113.9,Loam
16.0,25.0,59.0,5.4,45.6,5.4,10.6,138.6,Silt loam
15.0,38.0,47.0,7.41,24.5,3.3,7.4,439.3,Clay loam
27.0,27.0,47.0,7.4,22.1,2.9,7.2,265.9,Loam
70.0,5.0,25.0,5.08,18.76,4.1,11.5,181.4,Loamy sand
70.0,9.0,21.0,6.49,7.0,1.4,6.7,126.1,Loamy sand
76.0,6.0,18.0,5.23,3.78,0.7,0.0,29.1,Loamy sand
41.0,12.0,47.0,7.3,74.0,3.9,18.8,73.2,Loam
48.0,20.0,32.0,7.98,13.8,1.2,41.9,591.0,Loam
38.0,17.0,45.0,6.34,18.89,6.9,27.5,195.0,Loam
36.0,28.0,36.0,7.48,14.38,2.0,41.3,434.1,Clay loam
26.0,19.0,55.0,6.28,100.5,12.5,14.1,358.9,Silt loam
18.0,22.0,60.0,6.67,68.5,7.3,109.3,858.9,Silt loam
25.0,25.0,50.0,6.14,19.32,1.8,31.9,398.3,Silt loam
30.0,14.0,56.0,6.05,52.9,5.3,26.4,380.5,Silt loam
63.0,6.0,31.0,3.68,21.5,7.6,34.6,104.2,Loam
39.0,14.0,47.0,5.07,39.4,3.4,22.6,302.9,Loam
24.0,23.0,54.0,5.59,25.9,4.0,10.1,130.9,Silt loam
14.0,25.0,60.0,4.75,58.2,5.5,6.3,126.6,Silt loam
21.0,22.0,57.0,7.31,18.63,4.8,11.6,417.8,Silt loam
16.0,30.0,53.0,5.32,45.2,7.9,8.4,244.5,Clay loam
42.0,26.0,31.0,8.0,13.76,0.9,7.8,86.1,Loam
41.0,17.0,42.0,7.28,17.29,2.6,9.8,200.7,Loam
57.0,12.0,30.0,7.84,9.73,0.8,17.7,155.9,Loam
31.0,10.0,59.0,3.82,25.0,8.9,55.5,80.9,Silt loam
57.0,15.0,29.0,7.93,11.4,0.6,15.8,95.7,Loam
58.0,10.0,33.0,6.74,14.38,3.9,10.6,215.0,Loam
35.0,10.0,55.0,4.56,60.4,11.0,29.8,377.4,Silt loam
66.0,10.0,24.0,6.22,6.06,1.3,9.7,104.2,Loam
33.0,22.0,45.0,7.3,23.3,4.5,13.3,374.1,Loam
13.0,26.0,61.0,6.43,50.7,6.9,14.5,382.3,Silt loam
24.0,22.0,53.0,7.27,16.76,3.1,6.8,220.9,Silt loam
37.0,16.0,47.0,7.07,100.2,8.5,63.6,415.0,Loam
47.0,13.0,40.0,4.93,40.6,2.8,51.0,213.3,Loam
33.0,9.0,58.0,5.1,6.31,3.3,11.6,57.2,Silt loam
37.0,8.0,54.0,5.62,9.78,3.4,14.3,114.6,Silt loam
41.0,14.0,45.0,4.79,14.1,8.8,23.8,135.4,Loam
21.0,19.0,60.0,5.45,32.1,9.4,28.5,442.5,Silt loam
20.0,23.0,57.0,7.27,35.1,3.7,11.2,90.4,Silt loam
21.0,26.0,53.0,5.94,11.41,4.1,8.1,98.7,Silt loam
25.0,14.0,61.0,6.9,27.0,2.8,5.7,95.2,Silt loam
55.0,9.0,36.0,5.96,11.09,3.4,4.9,75.6,Loam
52.0,7.0,41.0,5.78,18.07,1.3,0.0,47.3,Loam
32.0,11.0,57.0,5.19,8.81,7.4,11.2,222.2,Silt loam
41.0,10.0,49.0,7.04,31.9,7.8,41.3,197.5,Loam
29.0,13.0,57.0,4.44,35.3,8.6,25.8,205.8,Silt loam
19.0,27.0,54.0,7.13,38.4,7.3,10.1,378.8,Clay loam
37.0,11.0,51.0,4.47,30.0,5.9,16.7,61.1,Silt loam
22.0,23.0,54.0,7.15,23.3,3.7,9.7,282.0,Silt loam
36.0,21.0,43.0,4.57,18.14,2.1,4.8,101.5,Loam
49.0,10.0,41.0,5.62,39.0,4.8,20.5,337.8,Loam
31.0,15.0,54.0,4.56,39.5,4.9,23.7,109.0,Silt loam
24.0,22.0,54.0,6.39,57.1,8.3,10.8,177.6,Silt loam
14.0,26.0,59.0,7.11,66.7,8.9,12.6,224.8,Silt loam
32.0,12.0,56.0,4.94,108.9,11.1,36.4,427.6,Silt loam
38.0,10.0,52.0,4.48,90.5,12.8,27.9,106.2,Silt loam
51.0,7.0,42.0,4.79,75.8,18.4,54.9,182.2,Loam
44.0,17.0,39.0,5.02,4.02,0.5,0.0,83.1,Loam
36.0,11.0,53.0,5.79,36.0,4.8,12.6,132.0,Silt loam
76.0,4.0,20.0,5.1,33.2,2.7,31.2,61.0,Loamy sand
29.0,13.0,57.0,4.8,62.2,6.9,24.8,146.0,Silt loam
47.0,7.0,45.0,4.58,102.1,18.8,36.1,230.2,Loam
44.0,11.0,45.0,4.24,24.7,2.8,25.2,75.9,Loam
44.0,8.0,48.0,4.84,64.7,10.2,20.6,175.8,Loam
49.0,8.0,43.0,4.94,40.6,7.9,53.0,225.5,Loam
53.0,6.0,40.0,4.53,80.8,12.8,26.9,356.8,Loam
57.0,9.0,34.0,7.52,43.5,3.1,256.1,1319.4,Loam
62.0,7.0,32.0,4.67,5.79,4.2,16.9,94.4,Loam
34.0,10.0,56.0,4.8,93.5,12.4,35.2,219.6,Silt loam
47.0,13.0,40.0,5.08,9.53,2.4,10.7,100.8,Loam
46.0,21.0,33.0,6.54,20.8,7.2,28.7,224.9,Loam
32.0,19.0,50.0,5.45,107.2,10.9,21.4,346.5,Loam
24.0,18.0,58.0,7.49,36.3,5.4,12.6,126.3,Silt loam
38.0,12.0,50.0,6.86,88.4,9.1,15.7,297.9,Silt loam
23.0,20.0,56.0,7.49,49.6,4.8,8.0,105.6,Silt loam
38.0,15.0,48.0,5.74,28.4,4.4,11.0,239.7,Loam
44.0,7.0,49.0,4.25,133.4,12.2,21.4,480.7,Loam
41.0,11.0,48.0,6.47,37.0,5.9,15.7,265.2,Loam
26.0,24.0,50.0,7.1,45.6,7.7,11.5,516.1,Silt loam
20.0,27.0,54.0,6.69,22.8,5.1,9.9,314.1,Silt loam
34.0,18.0,47.0,6.15,88.4,8.3,16.4,427.3,Loam
38.0,15.0,47.0,4.56,32.8,4.2,24.1,212.4,Loam
30.0,13.0,58.0,4.0,68.7,8.1,46.8,175.2,Silt loam
21.0,15.0,64.0,5.08,32.6,6.3,35.2,65.9,Silt loam
18.0,23.0,58.0,5.94,47.7,5.8,27.5,109.1,Silt loam
86.0,4.0,10.0,5.87,3.7,0.9,0.0,38.9,Sand
58.0,11.0,30.0,6.34,4.63,1.3,0.0,64.5,Loam
55.0,16.0,29.0,6.62,6.99,1.7,7.1,181.4,Loam
41.0,11.0,48.0,7.18,39.0,8.4,18.4,506.5,Loam
26.0,25.0,50.0,7.04,24.1,5.6,9.7,302.3,Loam
66.0,9.0,25.0,4.19,6.41,1.9,51.6,73.8,Loam
57.0,6.0,37.0,4.92,11.99,5.1,20.7,150.6,Loam
36.0,20.0,44.0,4.63,10.63,2.8,39.2,250.8,Loam
38.0,13.0,49.0,5.18,26.9,5.8,58.0,224.2,Loam
48.0,12.0,40.0,4.83,14.65,5.5,42.3,142.5,Loam
63.0,10.0,28.0,4.5,8.3,3.9,43.7,91.9,Loam
52.0,12.0,36.0,6.47,23.9,3.2,75.1,398.5,Loam
71.0,5.0,24.0,4.34,5.01,3.2,41.7,66.9,Loamy sand
49.0,16.0,35.0,4.76,7.66,2.3,30.4,179.2,Loam
45.0,10.0,45.0,6.4,37.8,3.3,16.4,259.7,Loam
46.0,13.0,41.0,4.61,7.06,3.4,23.4,139.4,Loam
21.0,21.0,58.0,4.92,42.2,8.3,45.4,418.1,Silt loam
46.0,10.0,44.0,5.93,11.41,3.9,34.5,664.4,Loam
28.0,11.0,61.0,5.86,15.44,10.0,19.7,476.6,Silt loam
57.0,9.0,34.0,4.86,13.12,2.7,25.9,184.0,Loam
37.0,10.0,53.0,5.37,80.0,5.2,50.0,486.6,Silt loam
34.0,20.0,46.0,5.9,14.59,3.7,31.9,98.3,Loam
64.0,6.0,30.0,4.91,16.15,6.5,35.9,265.6,Loam
66.0,8.0,26.0,4.49,9.48,2.2,14.0,146.3,Loam
33.0,14.0,53.0,6.06,10.04,3.0,24.1,324.6,Silt loam
34.0,11.0,55.0,4.21,10.13,8.3,35.2,74.8,Silt loam
31.0,16.0,53.0,6.91,22.0,6.7,12.2,126.9,Silt loam
59.0,7.0,35.0,4.16,22.8,7.9,33.0,120.5,Loam
47.0,10.0,43.0,4.97,17.93,3.1,14.2,95.5,Loam
51.0,12.0,38.0,4.44,7.73,3.0,31.0,114.5,Loam
37.0,12.0,50.0,3.95,42.4,5.7,35.9,99.2,Silt loam
55.0,9.0,35.0,4.48,29.6,4.1,59.7,186.2,Loam
56.0,11.0,33.0,4.36,14.44,3.1,17.6,90.8,Loam
36.0,15.0,49.0,3.97,41.6,5.9,50.8,129.0,Loam
45.0,9.0,46.0,4.09,27.7,6.8,45.9,89.6,Loam
35.0,8.0,57.0,4.06,114.4,15.9,68.3,220.1,Silt loam
48.0,11.0,42.0,5.63,8.93,5.0,19.0,310.6,Loam
49.0,13.0,38.0,4.42,5.32,2.6,9.2,44.0,Loam
20.0,32.0,48.0,7.58,24.5,3.1,7.5,110.6,Clay loam
29.0,21.0,49.0,4.97,31.5,3.2,10.3,117.2,Loam
19.0,25.0,56.0,4.86,58.6,5.6,21.3,211.2,Silt loam
22.0,30.0,48.0,5.21,7.75,2.0,0.0,95.3,Clay loam
20.0,28.0,52.0,5.75,8.16,5.6,5.2,92.1,Clay loam
13.0,30.0,58.0,7.21,48.6,6.0,9.9,149.9,Clay loam
55.0,11.0,34.0,5.43,8.52,2.7,9.5,164.2,Loam
57.0,8.0,34.0,6.79,16.6,3.8,13.7,86.3,Loam
33.0,14.0,53.0,5.04,11.49,7.5,19.7,191.7,Silt loam
24.0,18.0,58.0,6.25,14.83,4.0,17.4,99.0,Silt loam
19.0,25.0,56.0,5.24,81.8,5.3,25.4,106.0,Silt loam
35.0,14.0,51.0,5.38,8.19,5.3,15.4,165.3,Silt loam
71.0,5.0,23.0,4.89,3.22,0.6,16.7,25.4,Loamy sand
49.0,12.0,39.0,4.38,7.57,1.3,39.0,34.4,Loam
56.0,5.0,39.0,5.33,7.46,2.7,18.5,48.6,Loam
70.0,5.0,25.0,4.72,2.85,0.7,19.9,18.4,Loamy sand
52.0,6.0,42.0,4.57,3.55,0.9,42.6,25.0,Loam
55.0,6.0,39.0,4.28,3.13,0.8,5.8,16.8,Loam
86.0,3.0,11.0,4.61,2.12,0.4,5.2,14.4,Sand
49.0,16.0,35.0,4.63,2.77,0.7,0.0,22.6,Loam
75.0,4.0,21.0,4.27,3.49,1.1,0.0,17.6,Loamy sand
83.0,4.0,13.0,5.12,3.52,0.6,0.0,14.1,Loamy sand
71.0,4.0,26.0,5.2,8.36,1.1,10.4,27.1,Loamy sand
83.0,2.0,15.0,4.03,3.67,0.6,0.0,10.8,Loamy sand
84.0,2.0,14.0,4.31,11.96,0.7,6.1,23.9,Loamy sand
26.0,19.0,54.0,4.21,18.66,2.6,9.2,55.6,Silt loam
70.0,6.0,24.0,4.37,3.86,0.4,10.5,25.5,Loamy sand
35.0,11.0,53.0,5.11,3.04,0.5,9.1,21.1,Silt loam
74.0,5.0,21.0,4.47,3.08,0.6,8.9,16.1,Loamy sand
70.0,5.0,24.0,4.34,3.94,0.9,5.3,21.5,Loamy sand
66.0,5.0,29.0,4.57,7.87,1.4,8.0,42.7,Loam
66.0,5.0,29.0,3.98,11.17,4.1,9.3,99.5,Loam
69.0,5.0,26.0,4.67,5.33,1.2,7.7,26.8,Loam
52.0,6.0,42.0,4.2,15.48,10.1,17.3,40.7,Loam
59.0,6.0,35.0,4.29,3.14,0.6,9.6,17.3,Loam
87.0,2.0,10.0,4.58,2.26,0.6,0.0,13.7,Sand
64.0,7.0,29.0,4.35,9.65,2.0,19.9,53.9,Loam
72.0,5.0,23.0,4.49,77.4,4.5,93.8,123.7,Loamy sand
54.0,8.0,38.0,5.24,2.67,0.8,0.0,17.0,Loam
42.0,6.0,52.0,4.07,48.0,23.1,30.9,23.4,Silt loam
74.0,5.0,21.0,4.31,13.19,0.8,22.9,34.2,Loamy sand
67.0,8.0,25.0,4.69,3.4,0.7,6.3,21.4,Loam
69.0,5.0,25.0,4.43,3.36,0.5,30.3,14.7,Loam
86.0,3.0,12.0,4.45,2.13,0.4,5.2,9.8,Sand
60.0,8.0,32.0,4.57,3.13,1.0,0.0,16.8,Loam
72.0,4.0,24.0,4.04,5.58,1.2,31.1,55.6,Loamy sand
72.0,6.0,21.0,4.36,3.37,0.4,0.0,15.0,Loamy sand
87.0,2.0,11.0,4.32,2.8,0.4,5.8,42.1,Sand
82.0,3.0,15.0,4.04,3.18,0.8,12.1,34.0,Loamy sand
79.0,3.0,17.0,4.62,3.17,0.6,0.0,19.3,Loamy sand
58.0,8.0,34.0,4.36,3.41,0.8,10.4,24.0,Loam
72.0,5.0,23.0,4.67,2.49,0.5,11.3,12.9,Loamy sand
25.0,12.0,63.0,4.44,47.6,9.2,33.8,62.8,Silt loam
73.0,4.0,23.0,4.21,4.18,1.0,11.2,28.4,Loamy sand
63.0,5.0,32.0,4.13,25.1,17.8,48.9,200.8,Loam
49.0,13.0,38.0,4.5,4.85,1.4,13.1,45.2,Loam
73.0,4.0,23.0,4.43,7.04,1.2,18.8,61.8,Loamy sand
69.0,6.0,25.0,4.26,4.0,0.7,13.5,20.6,Loam
60.0,5.0,35.0,4.48,117.8,10.9,77.1,82.7,Loam
51.0,6.0,43.0,4.28,94.2,10.9,53.9,343.1,Loam
73.0,4.0,23.0,4.27,2.97,0.7,5.8,15.8,Loamy sand
17.0,24.0,59.0,4.69,17.2,2.8,14.5,35.6,Silt loam
27.0,18.0,55.0,4.32,38.1,4.6,23.9,119.5,Silt loam
35.0,7.0,58.0,5.04,85.8,7.3,29.2,53.5,Silt loam
61.0,4.0,35.0,4.37,10.44,1.6,15.8,35.4,Loam
63.0,5.0,32.0,4.05,7.3,1.3,11.3,54.8,Loam
78.0,3.0,19.0,4.64,24.1,2.9,34.7,66.2,Loamy sand
67.0,5.0,28.0,4.64,4.27,1.1,5.8,38.7,Loam
72.0,5.0,23.0,4.69,2.97,0.8,8.7,20.1,Loamy sand
66.0,6.0,29.0,4.3,11.54,0.9,8.4,30.8,Loam
76.0,3.0,21.0,4.46,4.81,0.7,11.8,44.3,Loamy sand
84.0,2.0,14.0,4.08,4.18,0.6,0.0,15.8,Loamy sand
81.0,3.0,16.0,4.11,2.67,0.5,0.0,19.2,Loamy sand
66.0,5.0,29.0,4.6,9.07,2.8,172.3,44.7,Loam
53.0,8.0,40.0,4.99,22.2,2.2,62.7,51.4,Loam
51.0,9.0,40.0,4.89,4.78,1.6,5.0,48.4,Loam
77.0,4.0,19.0,4.55,2.42,0.5,12.9,22.3,Loamy sand
75.0,4.0,21.0,4.84,3.67,1.1,13.6,59.3,Loamy sand
74.0,3.0,23.0,4.38,240.2,24.9,53.7,89.8,Loamy sand
60.0,10.0,30.0,4.03,7.3,2.5,6.8,53.7,Loam
77.0,3.0,20.0,4.42,53.8,32.3,58.9,173.2,Loamy sand
83.0,3.0,15.0,4.93,3.06,0.4,20.3,28.0,Loamy sand
82.0,3.0,15.0,3.99,5.64,1.0,16.4,42.8,Loamy sand
87.0,2.0,11.0,4.69,6.5,1.2,7.8,28.6,Sand
13.0,23.0,64.0,4.55,15.03,1.6,40.5,63.4,Silt loam
74.0,6.0,20.0,4.76,3.54,1.1,8.2,21.0,Loamy sand
54.0,14.0,32.0,4.34,4.22,1.0,25.7,26.5,Loam
67.0,5.0,28.0,4.06,4.09,1.2,5.5,27.6,Loam
78.0,4.0,17.0,4.74,2.76,0.9,0.0,18.6,Loamy sand
39.0,8.0,52.0,4.16,5.2,1.1,10.5,38.4,Silt loam
36.0,11.0,53.0,4.8,4.25,0.8,0.0,14.9,Silt loam
60.0,8.0,32.0,4.89,3.06,0.8,0.0,18.0,Loam
77.0,5.0,18.0,4.57,5.7,0.5,0.0,15.2,Loamy sand
87.0,3.0,11.0,4.55,2.4,0.4,0.0,13.6,Sand
100.0,0.0,0.0,6.02,3.51,0.1,0.0,28.1,Sand
76.0,4.0,20.0,4.69,3.73,0.5,0.0,11.0,Loamy sand
43.0,11.0,46.0,5.77,22.6,4.1,7.4,98.5,Loam
59.0,7.0,34.0,4.91,6.48,2.1,0.0,44.5,Loam
68.0,6.0,26.0,4.45,3.72,0.8,115.5,32.8,Loam
63.0,7.0,30.0,4.15,8.04,1.1,6.7,15.1,Loam
48.0,7.0,45.0,4.85,42.6,10.2,80.3,173.3,Loam
65.0,8.0,27.0,4.6,3.58,0.9,8.9,27.6,Loam
72.0,6.0,22.0,5.16,4.23,0.5,0.0,16.2,Loamy sand
66.0,7.0,28.0,4.44,3.02,0.6,0.0,15.7,Loam
72.0,7.0,21.0,4.33,3.05,0.4,0.0,14.1,Loamy sand
75.0,5.0,20.0,4.85,2.59,0.5,0.0,16.9,Loamy sand
71.0,6.0,23.0,4.21,4.65,0.6,12.1,24.4,Loamy sand
59.0,9.0,31.0,4.4,5.09,0.7,0.0,29.7,Loam
80.0,5.0,16.0,4.41,2.66,0.5,0.0,22.3,Loamy sand
51.0,9.0,40.0,4.26,8.55,2.2,0.0,49.4,Loam
66.0,6.0,28.0,4.52,4.22,1.1,0.0,36.6,Loam
39.0,24.0,37.0,4.4,6.71,2.3,48.3,92.4,Loam
60.0,8.0,32.0,4.39,5.33,1.7,7.0,82.8,Loam
66.0,6.0,28.0,4.51,6.6,1.3,0.0,28.7,Loam
68.0,6.0,26.0,4.4,3.02,0.8,6.7,30.2,Loam
63.0,8.0,29.0,4.74,8.33,2.2,31.7,59.1,Loam
60.0,6.0,34.0,4.23,4.63,0.7,20.7,20.9,Loam
76.0,4.0,21.0,4.28,4.8,0.7,15.4,24.6,Loamy sand
96.0,1.0,3.0,4.8,2.09,0.4,9.7,12.6,Sand
53.0,10.0,37.0,4.46,3.97,1.0,0.0,24.4,Loam
93.0,2.0,6.0,4.62,2.15,0.3,6.4,14.0,Sand
80.0,5.0,15.0,4.73,2.86,0.4,5.6,21.5,Loamy sand
77.0,5.0,18.0,4.65,3.82,1.1,0.0,39.8,Loamy sand
79.0,4.0,18.0,5.54,6.57,0.6,0.0,16.2,Loamy sand
60.0,8.0,33.0,4.93,2.49,0.6,0.0,39.0,Loam
70.0,6.0,24.0,4.19,13.05,0.9,0.0,42.2,Loamy sand
71.0,6.0,22.0,4.81,3.1,0.5,0.0,18.9,Loamy sand
61.0,7.0,32.0,4.77,3.25,0.7,0.0,16.6,Loam
66.0,7.0,27.0,4.57,6.53,0.7,0.0,22.6,Loam
74.0,4.0,22.0,4.66,2.73,0.5,33.8,29.5,Loamy sand
71.0,5.0,23.0,4.76,3.27,0.6,30.5,27.7,Loamy sand
35.0,24.0,41.0,5.68,26.9,2.1,35.6,107.0,Loam
49.0,21.0,30.0,4.62,12.62,1.2,26.4,76.4,Loam
35.0,30.0,35.0,4.39,19.76,2.1,46.0,141.0,Clay loam
20.0,36.0,44.0,7.88,16.56,1.6,12.1,315.6,Clay loam
27.0,28.0,45.0,7.57,89.8,2.0,59.2,862.5,Clay loam
18.0,41.0,41.0,8.29,18.53,0.8,10.6,198.2,Silty clay
23.0,38.0,39.0,7.9,19.89,1.7,12.4,192.8,Clay loam
22.0,27.0,52.0,8.24,15.25,0.8,9.4,449.7,Silt loam
39.0,18.0,42.0,7.63,26.4,2.8,56.1,463.3,Loam
36.0,24.0,40.0,7.67,42.5,1.8,9.3,173.4,Loam
64.0,14.0,22.0,6.54,21.3,1.1,0.0,83.6,Loam
20.0,45.0,35.0,7.96,14.46,1.1,24.9,361.4,Clay
36.0,34.0,30.0,7.71,26.1,1.0,16.0,378.2,Clay loam
32.0,28.0,40.0,7.7,23.6,1.4,35.7,199.5,Clay loam
21.0,36.0,43.0,7.75,39.8,2.1,66.0,513.4,Clay loam
42.0,28.0,30.0,7.89,14.44,1.1,31.8,261.1,Clay loam
69.0,16.0,15.0,5.68,8.39,0.6,60.9,112.9,Loam
53.0,16.0,31.0,6.13,7.86,0.7,62.5,234.7,Loam
21.0,32.0,47.0,7.9,20.0,1.9,12.4,122.3,Clay loam
30.0,21.0,49.0,5.6,6.25,0.7,0.0,97.0,Loam
77.0,6.0,18.0,5.52,4.14,1.4,15.8,95.1,Loamy sand
70.0,8.0,22.0,6.03,4.18,1.4,16.6,119.3,Loamy sand
51.0,15.0,34.0,5.43,3.22,1.3,6.6,66.8,Loam
62.0,8.0,30.0,5.83,7.37,3.3,23.3,285.2,Loam
31.0,17.0,52.0,4.91,6.92,0.8,26.4,76.6,Silt loam
40.0,16.0,44.0,7.31,22.0,3.1,309.2,758.6,Loam
67.0,9.0,24.0,6.45,5.58,1.3,12.5,282.7,Loam
80.0,7.0,13.0,6.1,3.93,0.6,26.0,98.1,Loamy sand
34.0,18.0,48.0,5.92,10.44,1.1,38.8,207.5,Loam
29.0,30.0,41.0,7.79,34.0,1.8,32.3,158.5,Clay loam
59.0,9.0,32.0,5.89,4.84,1.2,8.8,157.6,Loam
21.0,33.0,46.0,7.82,20.5,2.4,0.0,444.2,Clay loam
76.0,8.0,17.0,5.97,4.1,1.1,0.0,87.5,Loamy sand
49.0,17.0,33.0,5.79,5.87,1.2,11.0,139.3,Loam
45.0,19.0,36.0,7.6,34.4,1.3,18.0,352.5,Loam
39.0,20.0,42.0,6.63,56.0,3.7,12.7,309.3,Loam
58.0,18.0,24.0,5.5,11.81,0.8,16.9,78.7,Loam
48.0,25.0,27.0,6.64,10.68,0.9,0.0,135.4,Sandy loam
44.0,18.0,38.0,6.71,35.5,1.7,79.4,415.4,Loam
46.0,22.0,32.0,6.94,26.0,1.9,50.6,440.4,Loam
16.0,31.0,53.0,6.7,17.07,2.3,0.0,123.8,Clay loam
71.0,10.0,19.0,5.9,6.19,0.7,15.9,161.4,Loamy sand
43.0,24.0,34.0,5.9,3.63,1.1,0.0,57.4,Loam
51.0,13.0,36.0,6.95,39.6,6.1,13.6,387.9,Loam
53.0,18.0,29.0,6.19,5.07,1.1,0.0,221.2,Loam
53.0,13.0,34.0,6.5,4.03,0.3,6.8,160.1,Loam
31.0,24.0,44.0,5.75,4.2,2.3,0.0,106.3,Loam
41.0,22.0,38.0,5.38,3.84,1.5,0.0,54.7,Loam
32.0,29.0,39.0,5.56,7.68,2.3,9.2,109.3,Clay loam
94.0,1.0,4.0,5.77,3.14,0.3,0.0,82.4,Sand
92.0,2.0,6.0,5.94,3.37,0.4,0.0,93.7,Sand
27.0,19.0,54.0,5.33,3.97,1.3,6.4,35.9,Silt loam
24.0,23.0,53.0,5.23,4.42,2.0,0.0,76.0,Silt loam
18.0,35.0,46.0,5.48,5.27,1.9,0.0,59.1,Clay loam
20.0,27.0,53.0,4.64,4.68,1.1,0.0,36.3,Clay loam
22.0,32.0,46.0,5.37,6.53,2.3,22.5,73.7,Clay loam
44.0,20.0,36.0,5.22,3.78,1.5,8.3,145.5,Loam
48.0,23.0,29.0,5.38,5.36,1.2,0.0,57.8,Loam
15.0,34.0,51.0,5.6,4.95,2.8,0.0,162.5,Clay loam
22.0,25.0,53.0,4.55,3.69,2.3,0.0,73.3,Silt loam
51.0,16.0,33.0,4.29,7.21,1.8,13.8,70.1,Loam
41.0,9.0,50.0,5.85,14.05,7.4,29.9,104.4,Silt loam
42.0,18.0,40.0,5.69,7.72,2.7,44.7,306.4,Loam
13.0,33.0,53.0,4.92,4.67,1.3,0.0,144.0,Clay loam
36.0,16.0,48.0,7.7,20.1,3.6,11.2,248.7,Loam
74.0,6.0,20.0,5.46,3.88,1.9,10.4,140.7,Loamy sand
24.0,24.0,52.0,7.85,14.47,1.9,0.0,121.3,Silt loam
83.0,3.0,14.0,5.84,4.23,0.9,10.6,94.7,Loamy sand
25.0,28.0,47.0,6.78,13.03,2.1,0.0,174.3,Clay loam
11.0,42.0,47.0,8.11,12.99,1.2,0.0,104.7,Silty clay
25.0,22.0,53.0,7.3,32.2,6.8,11.4,215.0,Silt loam
62.0,12.0,26.0,6.87,12.88,2.1,10.7,194.2,Loam
31.0,15.0,54.0,7.6,39.3,8.9,14.6,423.5,Silt loam
26.0,35.0,40.0,7.68,30.4,1.6,36.3,573.4,Clay loam
45.0,15.0,40.0,5.59,5.97,2.0,7.0,63.1,Loam
33.0,30.0,38.0,7.87,14.5,1.6,9.7,474.1,Clay loam
63.0,12.0,25.0,5.56,9.15,1.0,55.7,167.7,Loam
74.0,9.0,17.0,7.58,14.55,0.5,0.0,97.3,Loamy sand
68.0,11.0,21.0,6.48,5.3,0.7,0.0,53.8,Loam
77.0,6.0,17.0,6.45,7.99,1.0,0.0,58.6,Loamy sand
24.0,30.0,46.0,7.69,19.03,1.6,0.0,443.2,Clay loam
23.0,25.0,52.0,7.67,25.9,3.4,6.8,368.1,Silt loam
42.0,23.0,35.0,8.06,13.65,0.7,0.0,184.8,Loam
23.0,28.0,49.0,7.91,18.59,3.4,29.0,352.7,Clay loam
29.0,35.0,36.0,5.22,6.9,1.4,0.0,104.3,Clay loam
33.0,32.0,35.0,4.83,4.49,1.1,0.0,40.2,Clay loam
30.0,24.0,46.0,7.56,40.3,3.8,8.9,277.9,Loam
78.0,6.0,15.0,5.24,2.09,0.6,12.0,55.4,Loamy sand
55.0,10.0,35.0,5.82,7.36,3.1,24.2,186.1,Loam
67.0,8.0,26.0,5.64,17.81,1.2,11.3,63.9,Loam
79.0,5.0,16.0,5.76,3.33,0.5,14.2,148.8,Loamy sand
81.0,4.0,15.0,5.84,3.38,0.6,11.2,145.3,Loamy sand
77.0,5.0,18.0,5.91,3.07,0.6,0.0,55.6,Loamy sand
66.0,6.0,28.0,5.69,4.66,2.0,0.0,82.3,Loam
75.0,6.0,19.0,6.17,5.34,1.0,18.8,149.2,Loamy sand
67.0,10.0,23.0,5.66,4.87,1.1,12.6,85.6,Loam
79.0,4.0,17.0,5.89,4.34,0.9,8.5,88.7,Loamy sand
61.0,6.0,33.0,5.8,5.87,1.3,0.0,68.2,Loam
66.0,9.0,25.0,5.57,4.22,0.9,0.0,63.0,Loam
73.0,6.0,20.0,5.42,4.0,0.9,17.8,106.3,Loamy sand
40.0,14.0,46.0,5.29,9.35,0.9,31.3,117.3,Loam
62.0,10.0,28.0,6.49,9.07,3.7,11.3,352.1,Loam
33.0,15.0,52.0,4.71,35.2,2.1,8.6,121.4,Silt loam
65.0,7.0,27.0,5.84,6.37,1.2,0.0,79.4,Loam
